C26.017;Abdominal Injuries;D000007
C18.452;Hyperhomocysteinemia;D020138
C18.654;Hyperhomocysteinemia;D020138
C05.660;Gastroschisis;D020139
C16.131;Gastroschisis;D020139
C10.228;Lysosomal Storage Diseases, Nervous System;D020140
C16.320;Lysosomal Storage Diseases, Nervous System;D020140
C18.452;Lysosomal Storage Diseases, Nervous System;D020140
C14.907;Hemostatic Disorders;D020141
C15.378;Hemostatic Disorders;D020141
C10.228;Gangliosidoses, GM2;D020143
C16.320;Gangliosidoses, GM2;D020143
C18.452;Gangliosidoses, GM2;D020143
C10.228;Basal Ganglia Cerebrovascular Disease;D020144
C14.907;Basal Ganglia Cerebrovascular Disease;D020144
C10.228;Basal Ganglia Hemorrhage;D020145
C14.907;Basal Ganglia Hemorrhage;D020145
C10.228;Putaminal Hemorrhage;D020146
C14.907;Putaminal Hemorrhage;D020146
C15.378;Coagulation Protein Disorders;D020147
C10.720;Manganese Poisoning;D020149
C25.723;Manganese Poisoning;D020149
C10.228;Chorea Gravidarum;D020150
C13.703;Chorea Gravidarum;D020150
C15.378;Protein C Deficiency;D020151
C16.320;Protein C Deficiency;D020151
C15.378;Antithrombin III Deficiency;D020152
C16.320;Antithrombin III Deficiency;D020152
C16.320;Amino Acid Transport Disorders, Inborn;D020157
C18.452;Amino Acid Transport Disorders, Inborn;D020157
C10.228;Hyperglycinemia, Nonketotic;D020158
C16.320;Hyperglycinemia, Nonketotic;D020158
C18.452;Hyperglycinemia, Nonketotic;D020158
C10.228;Citrullinemia;D020159
C16.320;Citrullinemia;D020159
C18.452;Citrullinemia;D020159
C10.228;Hyperargininemia;D020162
C16.320;Hyperargininemia;D020162
C18.452;Hyperargininemia;D020162
C10.228;Ornithine Carbamoyltransferase Deficiency Disease;D020163
C16.320;Ornithine Carbamoyltransferase Deficiency Disease;D020163
C18.452;Ornithine Carbamoyltransferase Deficiency Disease;D020163
C10.228;Carbamoyl-Phosphate Synthase I Deficiency Disease;D020165
C16.320;Carbamoyl-Phosphate Synthase I Deficiency Disease;D020165
C18.452;Carbamoyl-Phosphate Synthase I Deficiency Disease;D020165
C10.228;Hyperlysinemias;D020167
C16.320;Hyperlysinemias;D020167
C18.452;Hyperlysinemias;D020167
C10.228;Tyrosinemias;D020176
C16.320;Tyrosinemias;D020176
C18.452;Tyrosinemias;D020176
C10.886;Hypersomnolence, Idiopathic;D020177
C10.281;Sleep Disorders, Circadian Rhythm;D020178
C10.886;Sleep Disorders, Circadian Rhythm;D020178
C24.900;Sleep Disorders, Circadian Rhythm;D020178
C10.281;Jet Lag Syndrome;D020179
C10.886;Jet Lag Syndrome;D020179
C08.618;Sleep Apnea, Obstructive;D020181
C10.886;Sleep Apnea, Obstructive;D020181
C08.618;Sleep Apnea, Central;D020182
C10.886;Sleep Apnea, Central;D020182
C10.886;Nocturnal Paroxysmal Dystonia;D020183
C10.886;Night Terrors;D020184
C07.793;Sleep Bruxism;D020186
C10.886;Sleep Bruxism;D020186
C10.886;REM Sleep Behavior Disorder;D020187
C10.886;Sleep Paralysis;D020188
C10.886;Nocturnal Myoclonus Syndrome;D020189
C10.228;Myoclonic Epilepsy, Juvenile;D020190
C10.228;Myoclonic Epilepsies, Progressive;D020191
C10.228;Lafora Disease;D020192
C10.574;Lafora Disease;D020192
C16.320;Lafora Disease;D020192
C10.228;Unverricht-Lundborg Syndrome;D020194
C10.574;Unverricht-Lundborg Syndrome;D020194
C16.320;Unverricht-Lundborg Syndrome;D020194
C10.228;Epilepsy, Reflex;D020195
C10.900;Trauma, Nervous System;D020196
C26.915;Trauma, Nervous System;D020196
C10.900;Head Injuries, Penetrating;D020197
C26.260;Head Injuries, Penetrating;D020197
C26.915;Head Injuries, Penetrating;D020197
C26.986;Head Injuries, Penetrating;D020197
C10.228;Intracranial Hemorrhage, Traumatic;D020198
C10.900;Intracranial Hemorrhage, Traumatic;D020198
C14.907;Intracranial Hemorrhage, Traumatic;D020198
C26.260;Intracranial Hemorrhage, Traumatic;D020198
C26.915;Intracranial Hemorrhage, Traumatic;D020198
C10.228;Hematoma, Subdural, Acute;D020199
C10.900;Hematoma, Subdural, Acute;D020199
C14.907;Hematoma, Subdural, Acute;D020199
C26.260;Hematoma, Subdural, Acute;D020199
C26.915;Hematoma, Subdural, Acute;D020199
C10.228;Hematoma, Subdural, Chronic;D020200
C10.900;Hematoma, Subdural, Chronic;D020200
C14.907;Hematoma, Subdural, Chronic;D020200
C26.260;Hematoma, Subdural, Chronic;D020200
C26.915;Hematoma, Subdural, Chronic;D020200
C10.228;Brain Hemorrhage, Traumatic;D020201
C10.900;Brain Hemorrhage, Traumatic;D020201
C14.907;Brain Hemorrhage, Traumatic;D020201
C26.260;Brain Hemorrhage, Traumatic;D020201
C26.915;Brain Hemorrhage, Traumatic;D020201
C10.228;Cerebral Hemorrhage, Traumatic;D020202
C10.900;Cerebral Hemorrhage, Traumatic;D020202
C14.907;Cerebral Hemorrhage, Traumatic;D020202
C26.260;Cerebral Hemorrhage, Traumatic;D020202
C26.915;Cerebral Hemorrhage, Traumatic;D020202
C10.228;Brain Stem Hemorrhage, Traumatic;D020203
C10.900;Brain Stem Hemorrhage, Traumatic;D020203
C14.907;Brain Stem Hemorrhage, Traumatic;D020203
C26.260;Brain Stem Hemorrhage, Traumatic;D020203
C26.915;Brain Stem Hemorrhage, Traumatic;D020203
C10.900;Skull Fracture, Depressed;D020204
C26.260;Skull Fracture, Depressed;D020204
C26.404;Skull Fracture, Depressed;D020204
C26.915;Skull Fracture, Depressed;D020204
C10.900;Skull Fracture, Basilar;D020205
C26.260;Skull Fracture, Basilar;D020205
C26.404;Skull Fracture, Basilar;D020205
C26.915;Skull Fracture, Basilar;D020205
C10.228;Subarachnoid Hemorrhage, Traumatic;D020206
C10.900;Subarachnoid Hemorrhage, Traumatic;D020206
C14.907;Subarachnoid Hemorrhage, Traumatic;D020206
C26.260;Subarachnoid Hemorrhage, Traumatic;D020206
C26.915;Subarachnoid Hemorrhage, Traumatic;D020206
C10.597;Coma, Post-Head Injury;D020207
C10.900;Coma, Post-Head Injury;D020207
C26.260;Coma, Post-Head Injury;D020207
C26.915;Coma, Post-Head Injury;D020207
C10.228;Brain Injury, Chronic;D020208
C10.900;Brain Injury, Chronic;D020208
C26.260;Brain Injury, Chronic;D020208
C26.915;Brain Injury, Chronic;D020208
C10.292;Cranial Nerve Injuries;D020209
C10.900;Cranial Nerve Injuries;D020209
C26.260;Cranial Nerve Injuries;D020209
C26.915;Cranial Nerve Injuries;D020209
C10.228;Central Cord Syndrome;D020210
C10.900;Central Cord Syndrome;D020210
C26.819;Central Cord Syndrome;D020210
C10.177;Autonomic Dysreflexia;D020211
C10.900;Autonomic Dysreflexia;D020211
C10.228;Carotid Artery Injuries;D020212
C10.900;Carotid Artery Injuries;D020212
C14.907;Carotid Artery Injuries;D020212
C26.915;Carotid Artery Injuries;D020212
C10.228;Cerebrovascular Trauma;D020214
C10.900;Cerebrovascular Trauma;D020214
C14.907;Cerebrovascular Trauma;D020214
C26.915;Cerebrovascular Trauma;D020214
C10.228;Carotid Artery, Internal, Dissection;D020215
C10.900;Carotid Artery, Internal, Dissection;D020215
C14.907;Carotid Artery, Internal, Dissection;D020215
C26.915;Carotid Artery, Internal, Dissection;D020215
C10.228;Carotid-Cavernous Sinus Fistula;D020216
C10.900;Carotid-Cavernous Sinus Fistula;D020216
C14.907;Carotid-Cavernous Sinus Fistula;D020216
C26.915;Carotid-Cavernous Sinus Fistula;D020216
C10.228;Vertebral Artery Dissection;D020217
C10.900;Vertebral Artery Dissection;D020217
C14.907;Vertebral Artery Dissection;D020217
C26.915;Vertebral Artery Dissection;D020217
C10.292;Facial Nerve Injuries;D020220
C10.900;Facial Nerve Injuries;D020220
C26.260;Facial Nerve Injuries;D020220
C26.915;Facial Nerve Injuries;D020220
C10.292;Optic Nerve Injuries;D020221
C10.900;Optic Nerve Injuries;D020221
C11.640;Optic Nerve Injuries;D020221
C26.260;Optic Nerve Injuries;D020221
C26.915;Optic Nerve Injuries;D020221
C10.292;Abducens Nerve Injury;D020222
C10.900;Abducens Nerve Injury;D020222
C26.260;Abducens Nerve Injury;D020222
C26.915;Abducens Nerve Injury;D020222
C10.228;Sagittal Sinus Thrombosis;D020225
C14.907;Sagittal Sinus Thrombosis;D020225
C10.228;Cavernous Sinus Thrombosis;D020226
C14.907;Cavernous Sinus Thrombosis;D020226
C10.228;Lateral Sinus Thrombosis;D020227
C14.907;Lateral Sinus Thrombosis;D020227
C25.723;Serotonin Syndrome;D020230
C10.228;Kluver-Bucy Syndrome;D020232
C10.597;Gait Disorders, Neurologic;D020233
C10.597;Gait Ataxia;D020234
C10.597;Gait Apraxia;D020235
C10.228;Amnesia, Transient Global;D020236
C10.597;Amnesia, Transient Global;D020236
C10.597;Alexia, Pure;D020237
C10.597;Prosopagnosia;D020238
C10.597;Apraxia, Ideomotor;D020240
C02.081;Encephalomyelitis, Western Equine;D020241
C02.182;Encephalomyelitis, Western Equine;D020241
C02.290;Encephalomyelitis, Western Equine;D020241
C02.782;Encephalomyelitis, Western Equine;D020241
C10.228;Encephalomyelitis, Western Equine;D020241
C02.081;Encephalomyelitis, Eastern Equine;D020242
C02.182;Encephalomyelitis, Eastern Equine;D020242
C02.290;Encephalomyelitis, Eastern Equine;D020242
C02.782;Encephalomyelitis, Eastern Equine;D020242
C10.228;Encephalomyelitis, Eastern Equine;D020242
C10.228;Infarction, Anterior Cerebral Artery;D020243
C14.907;Infarction, Anterior Cerebral Artery;D020243
C10.228;Infarction, Middle Cerebral Artery;D020244
C14.907;Infarction, Middle Cerebral Artery;D020244
C14.907;Venous Thrombosis;D020246
C06.405;Gastric Antral Vascular Ectasia;D020252
C14.907;Gastric Antral Vascular Ectasia;D020252
C07.793;Tooth Ankylosis;D020254
C11.980;Vitreous Detachment;D020255
C11.941;Choroidal Neovascularization;D020256
C10.720;Neurotoxicity Syndromes;D020258
C25.723;Neurotoxicity Syndromes;D020258
C10.720;Heavy Metal Poisoning, Nervous System;D020260
C10.720;Arsenic Poisoning;D020261
C25.723;Arsenic Poisoning;D020261
C10.720;Mercury Poisoning, Nervous System;D020262
C25.723;Mercury Poisoning, Nervous System;D020262
C10.720;Lead Poisoning, Nervous System;D020263
C25.723;Lead Poisoning, Nervous System;D020263
C10.720;Lead Poisoning, Nervous System, Childhood;D020264
C25.723;Lead Poisoning, Nervous System, Childhood;D020264
C10.720;Lead Poisoning, Nervous System, Adult;D020265
C25.723;Lead Poisoning, Nervous System, Adult;D020265
C10.228;MPTP Poisoning;D020267
C10.720;MPTP Poisoning;D020267
C25.723;MPTP Poisoning;D020267
C10.720;Alcohol-Induced Disorders, Nervous System;D020268
C25.100;Alcohol-Induced Disorders, Nervous System;D020268
C25.723;Alcohol-Induced Disorders, Nervous System;D020268
C10.668;Alcoholic Neuropathy;D020269
C10.720;Alcoholic Neuropathy;D020269
C25.100;Alcoholic Neuropathy;D020269
C25.723;Alcoholic Neuropathy;D020269
C10.597;Alcohol Withdrawal Seizures;D020270
C10.720;Alcohol Withdrawal Seizures;D020270
C25.100;Alcohol Withdrawal Seizures;D020270
C25.723;Alcohol Withdrawal Seizures;D020270
C25.835;Alcohol Withdrawal Seizures;D020270
C10.574;Heredodegenerative Disorders, Nervous System;D020271
C16.320;Heredodegenerative Disorders, Nervous System;D020271
C10.114;Autoimmune Diseases of the Nervous System;D020274
C20.111;Autoimmune Diseases of the Nervous System;D020274
C10.114;Guillain-Barre Syndrome;D020275
C10.314;Guillain-Barre Syndrome;D020275
C10.668;Guillain-Barre Syndrome;D020275
C20.111;Guillain-Barre Syndrome;D020275
C10.114;Polyradiculoneuropathy, Chronic Inflammatory Demyelinating;D020277
C10.314;Polyradiculoneuropathy, Chronic Inflammatory Demyelinating;D020277
C10.668;Polyradiculoneuropathy, Chronic Inflammatory Demyelinating;D020277
C20.111;Polyradiculoneuropathy, Chronic Inflammatory Demyelinating;D020277
C10.228;Hereditary Central Nervous System Demyelinating Diseases;D020279
C10.314;Hereditary Central Nervous System Demyelinating Diseases;D020279
C10.574;Hereditary Central Nervous System Demyelinating Diseases;D020279
C16.320;Hereditary Central Nervous System Demyelinating Diseases;D020279
C18.452;Hereditary Central Nervous System Demyelinating Diseases;D020279
C04.588;Papilloma, Choroid Plexus;D020288
C10.228;Papilloma, Choroid Plexus;D020288
C10.551;Papilloma, Choroid Plexus;D020288
C10.114;Vasculitis, Central Nervous System;D020293
C10.228;Vasculitis, Central Nervous System;D020293
C14.907;Vasculitis, Central Nervous System;D020293
C20.111;Vasculitis, Central Nervous System;D020293
C10.668;Myasthenic Syndromes, Congenital;D020294
C16.320;Myasthenic Syndromes, Congenital;D020294
C04.588;Brain Stem Neoplasms;D020295
C10.228;Brain Stem Neoplasms;D020295
C10.551;Brain Stem Neoplasms;D020295
C10.228;Intracranial Hemorrhage, Hypertensive;D020299
C14.907;Intracranial Hemorrhage, Hypertensive;D020299
C10.228;Intracranial Hemorrhages;D020300
C14.907;Intracranial Hemorrhages;D020300
C10.228;Vasospasm, Intracranial;D020301
C14.907;Vasospasm, Intracranial;D020301
C01.252;Tuberculosis, Central Nervous System;D020306
C10.228;Tuberculosis, Central Nervous System;D020306
C01.703;Central Nervous System Fungal Infections;D020314
C10.228;Central Nervous System Fungal Infections;D020314
C20.543;Latex Hypersensitivity;D020315
C10.597;Tics;D020323
C10.597;Amnesia, Anterograde;D020324
C10.228;Migraine with Aura;D020325
C10.228;Migraine without Aura;D020326
C10.228;Essential Tremor;D020329
C02.256;Bell Palsy;D020330
C07.465;Bell Palsy;D020330
C10.292;Bell Palsy;D020330
C10.292;Mobius Syndrome;D020331
C16.131;Mobius Syndrome;D020331
C16.614;Mobius Syndrome;D020331
C10.292;Tolosa-Hunt Syndrome;D020333
C11.590;Tolosa-Hunt Syndrome;D020333
C10.597;Paraparesis;D020335
C10.597;Paraparesis, Spastic;D020336
C09.218;Vestibular Neuronitis;D020338
C10.292;Vestibular Neuronitis;D020338
C04.557;Optic Nerve Glioma;D020339
C04.588;Optic Nerve Glioma;D020339
C10.292;Optic Nerve Glioma;D020339
C10.551;Optic Nerve Glioma;D020339
C11.640;Optic Nerve Glioma;D020339
C10.228;Hypertensive Encephalopathy;D020343
C06.405;Enterocolitis, Necrotizing;D020345
C04.588;Paraneoplastic Syndromes, Nervous System;D020361
C04.730;Paraneoplastic Syndromes, Nervous System;D020361
C10.574;Paraneoplastic Syndromes, Nervous System;D020361
C04.588;Paraneoplastic Cerebellar Degeneration;D020362
C04.730;Paraneoplastic Cerebellar Degeneration;D020362
C10.228;Paraneoplastic Cerebellar Degeneration;D020362
C10.574;Paraneoplastic Cerebellar Degeneration;D020362
C04.588;Limbic Encephalitis;D020363
C04.730;Limbic Encephalitis;D020363
C10.228;Limbic Encephalitis;D020363
C10.574;Limbic Encephalitis;D020363
C04.588;Paraneoplastic Polyneuropathy;D020364
C04.730;Paraneoplastic Polyneuropathy;D020364
C10.574;Paraneoplastic Polyneuropathy;D020364
C10.668;Paraneoplastic Polyneuropathy;D020364
C05.550;Osteoarthritis, Knee;D020370
C05.799;Osteoarthritis, Knee;D020370
C10.228;Pelizaeus-Merzbacher Disease;D020371
C10.314;Pelizaeus-Merzbacher Disease;D020371
C16.320;Pelizaeus-Merzbacher Disease;D020371
C18.452;Pelizaeus-Merzbacher Disease;D020371
C10.597;Myokymia;D020385
C05.651;Isaacs Syndrome;D020386
C10.668;Isaacs Syndrome;D020386
C05.651;Muscular Dystrophy, Duchenne;D020388
C10.668;Muscular Dystrophy, Duchenne;D020388
C16.320;Muscular Dystrophy, Duchenne;D020388
C05.651;Muscular Dystrophy, Emery-Dreifuss;D020389
C10.668;Muscular Dystrophy, Emery-Dreifuss;D020389
C16.320;Muscular Dystrophy, Emery-Dreifuss;D020389
C05.651;Muscular Dystrophy, Facioscapulohumeral;D020391
C10.668;Muscular Dystrophy, Facioscapulohumeral;D020391
C16.320;Muscular Dystrophy, Facioscapulohumeral;D020391
C10.292;Nystagmus, Congenital;D020417
C11.590;Nystagmus, Congenital;D020417
C16.614;Nystagmus, Congenital;D020417
C10.292;Vagus Nerve Diseases;D020421
C10.668;Mononeuropathies;D020422
C10.668;Median Neuropathy;D020423
C10.668;Ulnar Neuropathies;D020424
C10.668;Radial Neuropathy;D020425
C10.668;Sciatic Neuropathy;D020426
C10.668;Peroneal Neuropathies;D020427
C10.668;Femoral Neuropathy;D020428
C10.668;Tibial Neuropathy;D020429
C10.668;Cubital Tunnel Syndrome;D020430
C26.844;Cubital Tunnel Syndrome;D020430
C10.292;Olfactory Nerve Diseases;D020431
C10.292;Trochlear Nerve Diseases;D020432
C10.292;Trigeminal Nerve Diseases;D020433
C10.292;Abducens Nerve Diseases;D020434
C10.292;Glossopharyngeal Nerve Diseases;D020435
C10.292;Accessory Nerve Diseases;D020436
C10.292;Hypoglossal Nerve Diseases;D020437
C10.886;Parasomnias;D020447
C10.668;Neuromuscular Junction Diseases;D020511
C05.651;Myopathy, Central Core;D020512
C10.668;Myopathy, Central Core;D020512
C05.651;Paralysis, Hyperkalemic Periodic;D020513
C10.668;Paralysis, Hyperkalemic Periodic;D020513
C16.320;Paralysis, Hyperkalemic Periodic;D020513
C18.452;Paralysis, Hyperkalemic Periodic;D020513
C05.651;Hypokalemic Periodic Paralysis;D020514
C10.668;Hypokalemic Periodic Paralysis;D020514
C16.320;Hypokalemic Periodic Paralysis;D020514
C18.452;Hypokalemic Periodic Paralysis;D020514
C10.668;Brachial Plexus Neuropathies;D020516
C06.552;Focal Nodular Hyperplasia;D020518
C10.228;Brain Infarction;D020520
C14.907;Brain Infarction;D020520
C10.228;Stroke;D020521
C14.907;Stroke;D020521
C04.557;Lymphoma, Mantle-Cell;D020522
C15.604;Lymphoma, Mantle-Cell;D020522
C20.683;Lymphoma, Mantle-Cell;D020522
C10.228;Brain Stem Infarctions;D020526
C14.907;Brain Stem Infarctions;D020526
C10.114;Multiple Sclerosis, Chronic Progressive;D020528
C10.314;Multiple Sclerosis, Chronic Progressive;D020528
C20.111;Multiple Sclerosis, Chronic Progressive;D020528
C10.114;Multiple Sclerosis, Relapsing-Remitting;D020529
C10.314;Multiple Sclerosis, Relapsing-Remitting;D020529
C20.111;Multiple Sclerosis, Relapsing-Remitting;D020529
C16.320;Acatalasia;D020642
C18.452;Acatalasia;D020642
C10.114;Myasthenia Gravis, Autoimmune, Experimental;D020720
C10.668;Myasthenia Gravis, Autoimmune, Experimental;D020720
C20.111;Myasthenia Gravis, Autoimmune, Experimental;D020720
C10.114;Nervous System Autoimmune Disease, Experimental;D020721
C20.111;Nervous System Autoimmune Disease, Experimental;D020721
C10.228;Parkinsonian Disorders;D020734
C10.228;Brain Diseases, Metabolic, Inborn;D020739
C16.320;Brain Diseases, Metabolic, Inborn;D020739
C18.452;Brain Diseases, Metabolic, Inborn;D020739
C25.100;Alcohol-Induced Disorders;D020751
C10.562;Neurocutaneous Syndromes;D020752
C16.131;Neurocutaneous Syndromes;D020752
C16.320;Neurocutaneous Syndromes;D020752
C17.800;Neurocutaneous Syndromes;D020752
C10.228;Spinocerebellar Ataxias;D020754
C10.574;Spinocerebellar Ataxias;D020754
C10.597;Spinocerebellar Ataxias;D020754
C16.320;Spinocerebellar Ataxias;D020754
C10.597;Amaurosis Fugax;D020757
C11.966;Amaurosis Fugax;D020757
C10.228;Spinal Cord Vascular Diseases;D020758
C14.907;Spinal Cord Vascular Diseases;D020758
C10.228;Anterior Spinal Artery Syndrome;D020759
C14.907;Anterior Spinal Artery Syndrome;D020759
C10.228;Spinal Cord Ischemia;D020760
C14.907;Spinal Cord Ischemia;D020760
C10.228;Infarction, Posterior Cerebral Artery;D020762
C14.907;Infarction, Posterior Cerebral Artery;D020762
C10.228;Intracranial Arterial Diseases;D020765
C14.907;Intracranial Arterial Diseases;D020765
C10.228;Intracranial Embolism;D020766
C14.907;Intracranial Embolism;D020766
C10.228;Intracranial Thrombosis;D020767
C14.907;Intracranial Thrombosis;D020767
C10.228;Headache Disorders;D020773
C10.228;Pick Disease of the Brain;D020774
C10.500;Sinus Pericranii;D020779
C14.240;Sinus Pericranii;D020779
C16.131;Sinus Pericranii;D020779
C10.500;Central Nervous System Vascular Malformations;D020785
C14.240;Central Nervous System Vascular Malformations;D020785
C16.131;Central Nervous System Vascular Malformations;D020785
C04.557;Hemangioma, Cavernous, Central Nervous System;D020786
C10.500;Hemangioma, Cavernous, Central Nervous System;D020786
C14.240;Hemangioma, Cavernous, Central Nervous System;D020786
C14.907;Hemangioma, Cavernous, Central Nervous System;D020786
C15.378;Hemangioma, Cavernous, Central Nervous System;D020786
C16.131;Hemangioma, Cavernous, Central Nervous System;D020786
C04.557;Central Nervous System Venous Angioma;D020787
C10.500;Central Nervous System Venous Angioma;D020787
C14.240;Central Nervous System Venous Angioma;D020787
C16.131;Central Nervous System Venous Angioma;D020787
C10.228;Bardet-Biedl Syndrome;D020788
C16.131;Bardet-Biedl Syndrome;D020788
C12.777;Diabetes Insipidus, Neurogenic;D020790
C13.351;Diabetes Insipidus, Neurogenic;D020790
C19.700;Diabetes Insipidus, Neurogenic;D020790
C07.465;Salivary Calculi;D020792
C10.597;Photophobia;D020795
C11.966;Photophobia;D020795
C01.252;Epidural Abscess;D020802
C01.539;Epidural Abscess;D020802
C10.228;Epidural Abscess;D020802
C02.182;Encephalitis, Herpes Simplex;D020803
C02.256;Encephalitis, Herpes Simplex;D020803
C02.290;Encephalitis, Herpes Simplex;D020803
C10.228;Encephalitis, Herpes Simplex;D020803
C02.182;Encephalitis, Varicella Zoster;D020804
C02.256;Encephalitis, Varicella Zoster;D020804
C02.290;Encephalitis, Varicella Zoster;D020804
C10.228;Encephalitis, Varicella Zoster;D020804
C02.182;Central Nervous System Viral Diseases;D020805
C10.228;Central Nervous System Viral Diseases;D020805
C01.252;Central Nervous System Bacterial Infections;D020806
C01.395;Central Nervous System Bacterial Infections;D020806
C10.228;Central Nervous System Bacterial Infections;D020806
C03.105;Central Nervous System Parasitic Infections;D020807
C10.228;Central Nervous System Parasitic Infections;D020807
C03.105;Central Nervous System Protozoal Infections;D020808
C03.752;Central Nervous System Protozoal Infections;D020808
C10.228;Central Nervous System Protozoal Infections;D020808
C03.105;Central Nervous System Helminthiasis;D020809
C10.228;Central Nervous System Helminthiasis;D020809
C01.252;Meningitis, Escherichia coli;D020814
C10.228;Meningitis, Escherichia coli;D020814
C03.105;Neuroschistosomiasis;D020818
C03.335;Neuroschistosomiasis;D020818
C10.228;Neuroschistosomiasis;D020818
C10.228;Perimeningeal Infections;D020819
C10.228;Dyskinesias;D020820
C10.597;Dyskinesias;D020820
C10.228;Dystonic Disorders;D020821
C10.597;Pseudobulbar Palsy;D020828
C10.228;Diffuse Axonal Injury;D020833
C10.900;Diffuse Axonal Injury;D020833
C26.260;Diffuse Axonal Injury;D020833
C26.915;Diffuse Axonal Injury;D020833
C01.252;Lyme Neuroborreliosis;D020852
C10.228;Lyme Neuroborreliosis;D020852
C05.330;Hallux Limitus;D020857
C05.550;Hallux Limitus;D020857
C05.330;Hallux Rigidus;D020859
C05.550;Hallux Rigidus;D020859
C04.588;Central Nervous System Cysts;D020863
C10.500;Central Nervous System Cysts;D020863
C10.551;Central Nervous System Cysts;D020863
C16.131;Central Nervous System Cysts;D020863
C10.597;Neuromuscular Manifestations;D020879
C10.597;Somatosensory Disorders;D020886
C05.651;Myopathies, Structural, Congenital;D020914
C10.668;Myopathies, Structural, Congenital;D020914
C10.597;Korsakoff Syndrome;D020915
C10.720;Korsakoff Syndrome;D020915
C25.100;Korsakoff Syndrome;D020915
C25.723;Korsakoff Syndrome;D020915
C10.177;Complex Regional Pain Syndromes;D020918
C10.668;Complex Regional Pain Syndromes;D020918
C10.886;Sleep Disorders, Intrinsic;D020919
C10.886;Dyssomnias;D020920
C10.886;Sleep Arousal Disorders;D020921
C10.886;Sleep-Wake Transition Disorders;D020922
C10.886;REM Sleep Parasomnias;D020923
C10.228;Hypoxia-Ischemia, Brain;D020925
C14.907;Hypoxia-Ischemia, Brain;D020925
C10.228;Epilepsy, Benign Neonatal;D020936
C16.614;Epilepsy, Benign Neonatal;D020936
C10.228;Epilepsy, Partial, Sensory;D020937
C10.228;Epilepsy, Partial, Motor;D020938
C10.114;Myasthenia Gravis, Neonatal;D020941
C10.668;Myasthenia Gravis, Neonatal;D020941
C20.111;Myasthenia Gravis, Neonatal;D020941
C02.782;AIDS Arteritis, Central Nervous System;D020943
C02.800;AIDS Arteritis, Central Nervous System;D020943
C10.114;AIDS Arteritis, Central Nervous System;D020943
C10.228;AIDS Arteritis, Central Nervous System;D020943
C14.907;AIDS Arteritis, Central Nervous System;D020943
C20.673;AIDS Arteritis, Central Nervous System;D020943
C10.114;Lupus Vasculitis, Central Nervous System;D020945
C10.228;Lupus Vasculitis, Central Nervous System;D020945
C14.907;Lupus Vasculitis, Central Nervous System;D020945
C17.300;Lupus Vasculitis, Central Nervous System;D020945
C20.111;Lupus Vasculitis, Central Nervous System;D020945
C01.703;Neuroaspergillosis;D020953
C10.228;Neuroaspergillosis;D020953
C10.228;Striatonigral Degeneration;D020955
C10.574;Striatonigral Degeneration;D020955
C10.228;Lewy Body Disease;D020961
C10.574;Lewy Body Disease;D020961
C13.703;Embryo Loss;D020964
C05.651;Muscular Disorders, Atrophic;D020966
C10.668;Muscular Disorders, Atrophic;D020966
C05.651;Myotonic Disorders;D020967
C10.668;Myotonic Disorders;D020967
C10.668;Brachial Plexus Neuritis;D020968
C10.281;Chronobiology Disorders;D021081
C20.543;Egg Hypersensitivity;D021181
C20.543;Wheat Hypersensitivity;D021182
C20.543;Peanut Hypersensitivity;D021183
C20.543;Nut Hypersensitivity;D021184
C04.557;Carcinoma, Pancreatic Ductal;D021441
C04.588;Carcinoma, Pancreatic Ductal;D021441
C06.301;Carcinoma, Pancreatic Ductal;D021441
C06.689;Carcinoma, Pancreatic Ductal;D021441
C19.344;Carcinoma, Pancreatic Ductal;D021441
C12.706;Multicystic Dysplastic Kidney;D021782
C12.777;Multicystic Dysplastic Kidney;D021782
C13.351;Multicystic Dysplastic Kidney;D021782
C16.131;Multicystic Dysplastic Kidney;D021782
C01.539;Communicable Diseases, Emerging;D021821
C03.752;Isosporiasis;D021865
C03.752;Cyclosporiasis;D021866
C14.280;Aortic Stenosis, Supravalvular;D021921
C14.280;Discrete Subaortic Stenosis;D021922
C26.540;Lacerations;D022125
C11.270;Hermanski-Pudlak Syndrome;D022861
C15.378;Hermanski-Pudlak Syndrome;D022861
C16.320;Hermanski-Pudlak Syndrome;D022861
C17.800;Hermanski-Pudlak Syndrome;D022861
C18.452;Hermanski-Pudlak Syndrome;D022861
C01.252;Chlamydophila Infections;D023521
C14.280;Coronary Restenosis;D023903
C14.907;Coronary Restenosis;D023903
C14.280;Coronary Stenosis;D023921
C14.907;Coronary Stenosis;D023921
C12.706;Gonadal Dysgenesis, 46,XX;D023961
C13.351;Gonadal Dysgenesis, 46,XX;D023961
C16.131;Gonadal Dysgenesis, 46,XX;D023961
C19.391;Gonadal Dysgenesis, 46,XX;D023961
C04.557;Sarcoma, Myeloid;D023981
C07.793;Open Bite;D024343
C14.280;Cardiomyopathy, Hypertrophic, Familial;D024741
C16.320;Cardiomyopathy, Hypertrophic, Familial;D024741
C10.574;Tauopathies;D024801
C18.452;Metabolic Syndrome X;D024821
C16.131;Chromosome Disorders;D025063
C16.320;Chromosome Disorders;D025063
C16.131;Sex Chromosome Disorders;D025064
C16.320;Sex Chromosome Disorders;D025064
C05.116;Spondylarthritis;D025241
C05.550;Spondylarthritis;D025241
C05.116;Spondylarthropathies;D025242
C05.550;Spondylarthropathies;D025242
